k,features_used,f1_mean,f1_std,mcc_mean,mcc_std,acc_mean,acc_std,f1_Benign,f1_FalseDataInjection,f1_HTTPFlood,f1_ICMPFlood,f1_PositionSpoof,f1_RandomPosition,f1_Replay,f1_SYNFlood,f1_SlowDoS,f1_Sybil,f1_UDPFlood,f1_VehicularDoS
3,"mean_iat, mean_pkt_size, total_bytes",0.4423952641165756,0.08173388161603003,0.4012436519673697,0.06501497074272397,0.05846153846153847,0.020409998709879387,0.0,0.0,1.0,1.0,0.010638297872340425,0.0,0.0,1.0,1.0,0.0,1.0,1.0
5,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat",0.4423952641165756,0.08173388161603003,0.4012436519673697,0.06501497074272397,0.05846153846153847,0.020409998709879387,0.0,0.0,1.0,1.0,0.010638297872340425,0.0,0.0,1.0,1.0,0.0,1.0,1.0
7,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat",0.4423952641165756,0.08173388161603003,0.4012436519673697,0.06501497074272397,0.05846153846153847,0.020409998709879387,0.0,0.0,1.0,1.0,0.010638297872340425,0.0,0.0,1.0,1.0,0.0,1.0,1.0
10,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids",0.5118518518518519,0.08306211006797119,0.428876945329612,0.05391753772690722,0.06769230769230769,0.024997041245033724,0.0,0.0,1.0,1.0,0.010752688172043012,0.0,0.0,1.0,1.0,1.0,1.0,1.0
11,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids, bsm_mean_iat",0.5118518518518519,0.08306211006797119,0.428876945329612,0.05391753772690722,0.06769230769230769,0.024997041245033724,0.0,0.0,1.0,1.0,0.010752688172043012,0.0,0.0,1.0,1.0,1.0,1.0,1.0
12,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids, bsm_mean_iat, n_flood",0.5118518518518519,0.08306211006797119,0.428876945329612,0.05391753772690722,0.06769230769230769,0.024997041245033724,0.0,0.0,1.0,1.0,0.010752688172043012,0.0,0.0,1.0,1.0,1.0,1.0,1.0
13,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids, bsm_mean_iat, n_flood, max_iat",0.5118518518518519,0.08306211006797119,0.428876945329612,0.05391753772690722,0.06769230769230769,0.024997041245033724,0.0,0.0,1.0,1.0,0.010752688172043012,0.0,0.0,1.0,1.0,1.0,1.0,1.0
14,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids, bsm_mean_iat, n_flood, max_iat, max_pos_deviation",0.9493477282950966,0.06203712934407717,0.9594541280591715,0.051819207951624556,0.9907692307692308,0.012307692307692302,0.9948892674616695,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids, bsm_mean_iat, n_flood, max_iat, max_pos_deviation, mean_speed_deviation",1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids, bsm_mean_iat, n_flood, max_iat, max_pos_deviation, mean_speed_deviation, mean_pos_deviation",1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,"mean_iat, mean_pkt_size, total_bytes, pkt_rate, min_iat, flood_ratio, flood_mean_iat, duration, std_pkt_size, unique_vehicle_ids, bsm_mean_iat, n_flood, max_iat, max_pos_deviation, mean_speed_deviation, mean_pos_deviation, seq_anomaly",1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
