partition,C,alpha,E,seed,test_f1,test_mcc,test_acc,comm_kb
dirichlet,3,100.0,1,42,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,1,123,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,1,456,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,3,456,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,1,42,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,1,123,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,1,456,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,3,456,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,1,42,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,1,123,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,1,456,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,3,456,1.0,1.0,1.0,14976.6
dirichlet,3,0.1,1,42,1.0,1.0,1.0,14976.6
dirichlet,3,0.1,1,123,0.98226,0.989711,0.997464,14976.6
dirichlet,3,0.1,1,456,0.527203,0.750351,0.939759,14976.6
dirichlet,3,0.1,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,0.1,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,0.1,3,456,0.997807,0.998711,0.999683,14976.6
dirichlet,5,100.0,1,42,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,1,123,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,1,456,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,3,42,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,3,123,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,3,456,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,1,42,0.916092,0.950382,0.987952,24960.9
dirichlet,5,1.0,1,123,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,1,456,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,3,42,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,3,123,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,3,456,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,1,42,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,1,123,0.911703,0.947688,0.987318,24960.9
dirichlet,5,0.5,1,456,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,3,42,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,3,123,0.993411,0.996136,0.999049,24960.9
dirichlet,5,0.5,3,456,1.0,1.0,1.0,24960.9
dirichlet,5,0.1,1,42,0.21254,0.579936,0.903614,24960.9
dirichlet,5,0.1,1,123,0.599958,0.791875,0.95149,24960.9
dirichlet,5,0.1,1,456,0.804981,0.899741,0.975904,24960.9
dirichlet,5,0.1,3,42,0.916092,0.950382,0.987952,24960.9
dirichlet,5,0.1,3,123,0.909503,0.946342,0.987001,24960.9
dirichlet,5,0.1,3,456,0.991204,0.994849,0.998732,24960.9
scenario,3,-,1,42,0.637747,0.791643,0.951807,14976.6
scenario,3,-,1,123,0.587524,0.799586,0.952124,14976.6
scenario,3,-,1,456,0.71519,0.844471,0.962904,14976.6
scenario,3,-,3,42,0.527203,0.746458,0.939759,14976.6
scenario,3,-,3,123,0.602041,0.794898,0.951173,14976.6
scenario,3,-,3,456,0.637157,0.791628,0.951807,14976.6
scenario,5,-,1,42,0.374218,0.696964,0.927711,24960.9
scenario,5,-,1,123,0.401525,0.695234,0.927394,24960.9
scenario,5,-,1,456,0.345274,0.631851,0.915663,24960.9
scenario,5,-,3,42,0.384499,0.631325,0.915346,24960.9
scenario,5,-,3,123,0.337203,0.645052,0.915346,24960.9
scenario,5,-,3,456,0.336438,0.645041,0.915346,24960.9
