partition,C,alpha,E=1_macro_f1,E=3_macro_f1,delta,p_value,significant,n_seeds
dirichlet,3,0.1,0.8365±0.2188,0.9993±0.0010,0.1628,0.1797,False,3
dirichlet,3,0.5,1.0000±0.0000,1.0000±0.0000,0.0,1.0,False,3
dirichlet,3,1.0,1.0000±0.0000,1.0000±0.0000,0.0,1.0,False,3
dirichlet,3,100.0,1.0000±0.0000,1.0000±0.0000,0.0,1.0,False,3
dirichlet,5,0.1,0.5392±0.2457,0.9389±0.0371,0.3998,0.25,False,3
dirichlet,5,0.5,0.9706±0.0416,0.9978±0.0031,0.0272,0.3173,False,3
dirichlet,5,1.0,0.9720±0.0396,1.0000±0.0000,0.028,0.3173,False,3
dirichlet,5,100.0,1.0000±0.0000,1.0000±0.0000,0.0,1.0,False,3
scenario,3,-,0.6468±0.0525,0.5888±0.0459,-0.058,0.5,False,3
scenario,5,-,0.3737±0.0230,0.3527±0.0225,-0.021,0.75,False,3
