feature,anova_f,anova_rank,mi_score,mi_rank,combined_rank
mean_iat,11133.617595655025,2,0.1465716114510227,1,1.5
min_iat,13312.63555801132,1,0.14597785712813005,2,1.5
pkt_rate,5350.505357084168,6,0.14413483606370514,3,4.5
duration,8506.006848985913,3,0.1167814571889283,8,5.5
total_bytes,3782.491730289397,8,0.14392763477582404,4,6.0
n_flood,5108.6351635570345,7,0.11719210798445245,7,7.0
flood_ratio,7719.789042964324,5,0.1167541293548473,9,7.0
max_iat,8194.005186691555,4,0.11585273941133489,10,7.0
mean_pkt_size,1576.5848955011982,10,0.11854685635345552,6,8.0
flood_mean_iat,1264.995639216625,13,0.1199012258754335,5,9.0
std_pkt_size,3620.0179198777364,9,0.11406596236743582,11,10.0
mean_speed_deviation,1399.8317741856854,11,0.05178793087793343,14,12.5
max_pos_deviation,1278.7841454530474,12,0.0923771670882052,13,12.5
mean_pos_deviation,1259.8876290005676,14,0.09352202465492465,12,13.0
unique_vehicle_ids,1109.4203076923156,15,0.02308428928427153,15,15.0
bsm_mean_iat,1109.4203076914114,16,0.02094912349378486,16,16.0
seq_anomaly,26.60480354178196,17,0.0018455489689204185,17,17.0
