feature,anova_f,anova_rank,mi_score,mi_rank,combined_rank
mean_iat,543291732.6003383,6,0.30310158689035904,2,4.0
mean_pkt_size,1869140738.7337785,4,0.2628532442200784,4,4.0
total_bytes,4721711.365951885,11,0.3122585915873648,1,6.0
pkt_rate,12478759.584832283,10,0.29894812766809786,3,6.5
min_iat,2777470523608510.0,2,0.24201216785456814,11,6.5
duration,53726120.92701827,8,0.2502989062405421,6,7.0
std_pkt_size,18445090.086430334,9,0.2615915358625587,5,7.0
flood_ratio,438967761.4736744,7,0.2495208034320946,7,7.0
flood_mean_iat,1239183932.762268,5,0.24815979541816025,9,7.0
unique_vehicle_ids,2.77747052360851e+16,1,0.056348038836190106,15,8.0
bsm_mean_iat,477450709241507.9,3,0.052708916558300345,16,9.5
n_flood,4164979.3451687987,12,0.2489379721584244,8,10.0
max_iat,53246.46593862991,14,0.24315968825933787,10,12.0
max_pos_deviation,6768.197734475895,15,0.20961512118307146,12,13.5
mean_speed_deviation,230515.37630281795,13,0.11803760672348029,14,13.5
mean_pos_deviation,3395.011750144106,16,0.20895133163091506,13,14.5
seq_anomaly,30.03467019467019,17,0.00018336884137104548,17,17.0
