partition,C,alpha,E,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
dirichlet,3,0.1,1,0.8165,0.1796,0.9176,0.0806,3
dirichlet,3,0.1,3,1.0,0.0,1.0,0.0,3
dirichlet,3,0.5,1,1.0,0.0,1.0,0.0,3
dirichlet,3,0.5,3,1.0,0.0,1.0,0.0,3
dirichlet,3,1.0,1,1.0,0.0,1.0,0.0,3
dirichlet,3,1.0,3,1.0,0.0,1.0,0.0,3
dirichlet,3,100.0,1,1.0,0.0,1.0,0.0,3
dirichlet,3,100.0,3,1.0,0.0,1.0,0.0,3
dirichlet,5,0.1,1,0.6336,0.1755,0.8144,0.0861,3
dirichlet,5,0.1,3,0.9063,0.0808,0.9496,0.0415,3
dirichlet,5,0.5,1,0.972,0.0396,0.9835,0.0234,3
dirichlet,5,0.5,3,1.0,0.0,1.0,0.0,3
dirichlet,5,1.0,1,1.0,0.0,1.0,0.0,3
dirichlet,5,1.0,3,1.0,0.0,1.0,0.0,3
dirichlet,5,100.0,1,1.0,0.0,1.0,0.0,3
dirichlet,5,100.0,3,1.0,0.0,1.0,0.0,3
scenario,3,-,1,0.5578,0.0929,0.7562,0.0535,3
scenario,3,-,3,0.5073,0.0709,0.7294,0.0464,3
scenario,5,-,1,0.3951,0.1144,0.6682,0.0759,3
scenario,5,-,3,0.343,0.1016,0.6362,0.0438,3
