partition,C,alpha,E,seed,test_f1,test_mcc,test_acc,comm_kb
dirichlet,3,0.1,1,123,0.888889,0.951565,0.987952,14976.6
dirichlet,3,0.1,1,42,0.991204,0.994849,0.998732,14976.6
dirichlet,3,0.1,1,456,0.569444,0.806398,0.951807,14976.6
dirichlet,3,0.1,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,0.1,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,0.1,3,456,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,1,123,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,1,42,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,1,456,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,0.5,3,456,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,1,123,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,1,42,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,1,456,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,1.0,3,456,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,1,123,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,1,42,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,1,456,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,3,123,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,3,42,1.0,1.0,1.0,14976.6
dirichlet,3,100.0,3,456,1.0,1.0,1.0,14976.6
scenario,3,-,1,123,0.610536,0.797746,0.951807,14976.6
scenario,3,-,1,42,0.635554,0.790226,0.95149,14976.6
scenario,3,-,1,456,0.427162,0.680592,0.923906,14976.6
scenario,3,-,3,123,0.606278,0.795034,0.951173,14976.6
scenario,3,-,3,42,0.44387,0.69562,0.927711,14976.6
scenario,3,-,3,456,0.471648,0.697429,0.927711,14976.6
dirichlet,5,0.1,1,123,0.70337,0.846885,0.963221,24960.9
dirichlet,5,0.1,1,42,0.392403,0.696529,0.927394,24960.9
dirichlet,5,0.1,1,456,0.804981,0.899741,0.975904,24960.9
dirichlet,5,0.1,3,123,0.916092,0.950382,0.987952,24960.9
dirichlet,5,0.1,3,42,0.802787,0.898392,0.975587,24960.9
dirichlet,5,0.1,3,456,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,1,123,0.916092,0.950382,0.987952,24960.9
dirichlet,5,0.5,1,42,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,1,456,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,3,123,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,3,42,1.0,1.0,1.0,24960.9
dirichlet,5,0.5,3,456,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,1,123,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,1,42,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,1,456,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,3,123,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,3,42,1.0,1.0,1.0,24960.9
dirichlet,5,1.0,3,456,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,1,123,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,1,42,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,1,456,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,3,123,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,3,42,1.0,1.0,1.0,24960.9
dirichlet,5,100.0,3,456,1.0,1.0,1.0,24960.9
scenario,5,-,1,123,0.512154,0.746113,0.939442,24960.9
scenario,5,-,1,42,0.433207,0.693055,0.927077,24960.9
scenario,5,-,1,456,0.239826,0.565318,0.900761,24960.9
scenario,5,-,3,123,0.46997,0.684001,0.927394,24960.9
scenario,5,-,3,42,0.221342,0.578254,0.903614,24960.9
scenario,5,-,3,456,0.337724,0.646385,0.915663,24960.9
